,town,state,latitude,longitude,latest_price
323,New York,NY,40.7292,-73.9934,6.39
381,Jamaica,NY,40.7036,-73.8001,5.99
416,Bronx,NY,40.8856,-73.8269,5.89
422,New York,NY,40.7094,-74.0101,6.39
478,Bronx,NY,40.8726,-73.8523,6.19
527,Queens Village,NY,40.7292,-73.7444,5.99
599,Rosedale,NY,40.6739,-73.729,5.89
788,Brooklyn,NY,40.5975,-73.9416,5.99
822,Brooklyn,NY,40.7118,-73.9432,6.39
906,Staten Island,NY,40.6299,-74.0763,5.79
920,Staten Island,NY,40.6293,-74.1159,5.89
928,Bronx,NY,40.817,-73.8926,5.89
948,New York,NY,40.7164,-74.0107,6.29
1062,Bronx,NY,40.8418,-73.9047,5.49
1216,Bayside,NY,40.7579,-73.7798,6.39
1284,Brooklyn,NY,40.6321,-73.9286,6.79
1329,East Elmhurst,NY,40.7644,-73.8809,5.39
1335,Jamaica,NY,40.7136,-73.7812,7.69
1353,Brooklyn,NY,40.6637,-73.96,5.99
1432,Jamaica,NY,40.6862,-73.7933,7.69
1449,Little Neck,NY,40.7689,-73.7375,6.29
1879,Woodside,NY,40.7535,-73.9084,7.69
1920,Staten Island,NY,40.6078,-74.1628,6.99
1947,Brooklyn,NY,40.6222,-74.0277,5.99
2006,Jackson Heights,NY,40.7481,-73.8839,6.49
2245,South Richmond Hill,NY,40.6865,-73.824,6.59
2308,New York,NY,40.731,-73.9823,5.99
2310,Brooklyn,NY,40.6358,-73.9681,6.39
2312,Brooklyn,NY,40.6806,-73.9503,6.19
2475,Bronx,NY,40.8198,-73.9271,5.49
2759,New York,NY,40.7576,-73.9818,6.29
2935,Bronx,NY,40.8404,-73.8769,6.19
2936,Bronx,NY,40.9027,-73.8496,5.39
3028,New York,NY,40.7659,-73.9572,6.49
3065,New York,NY,40.7432,-73.9839,5.89
3140,Woodhaven,NY,40.6932,-73.8537,6.19
3163,Maspeth,NY,40.7263,-73.9067,5.49
3305,Brooklyn,NY,40.6338,-73.9155,5.99
3514,Bronx,NY,40.8928,-73.8575,5.69
3690,Brooklyn,NY,40.6527,-73.9232,5.79
3776,Brooklyn,NY,40.644,-74.0112,5.99
3800,New York,NY,40.7419,-73.9933,5.99
3844,New York,NY,40.8179,-73.9414,5.39
3845,New York,NY,40.7562,-73.9707,6.39
3902,Corona,NY,40.7495,-73.863,6.39
4027,New York,NY,40.8108,-73.953,6.19
4035,New York,NY,40.6447,-73.9217,5.99
4076,Jamaica,NY,40.7023,-73.8143,6.19
4156,Howard Beach,NY,40.6578,-73.84,6.39
4254,Manhattan,NY,40.7622,-73.9838,6.29
4271,Rockaway Beach,NY,40.5889,-73.8169,7.29
4287,Forest Hills,NY,40.72,-73.8451,6.49
4523,Jamaica,NY,40.6802,-73.7773,7.59
4524,Bronx,NY,40.8792,-73.8717,5.99
4525,Bronx,NY,40.8555,-73.8675,5.99
4567,New York,NY,40.7944,-73.9723,6.19
4618,Brooklyn,NY,40.6048,-73.9983,5.99
4621,Brooklyn,NY,40.6337,-74.027,5.99
4625,New York,NY,40.7188,-73.9883,5.99
4661,Brooklyn,NY,40.6323,-73.9478,6.79
4685,New York,NY,40.8674,-73.9213,5.89
4723,Jamaica,NY,40.6601,-73.7738,6.29
4729,Brooklyn,NY,40.6994,-73.9197,6.19
4773,Bronx,NY,40.8355,-73.8906,5.99
4894,Whitestone,NY,40.7807,-73.8023,6.49
4942,Brooklyn,NY,40.7089,-73.959,6.29
4992,Bronx,NY,40.8252,-73.9086,5.89
4993,Bronx,NY,40.8351,-73.9199,5.59
5037,Long Island City,NY,40.7606,-73.9262,6.29
5177,Bronx,NY,40.8447,-73.915,6.39
5182,Ridgewood,NY,40.7133,-73.9097,6.49
5184,New York,NY,40.7369,-73.9792,5.99
5245,Long Island City,NY,40.7663,-73.931,5.99
5288,New York,NY,40.7505,-73.9907,6.39
5331,New York,NY,40.7779,-73.9825,6.19
5332,Elmhurst,NY,40.7383,-73.8832,5.49
5348,Flushing,NY,40.7591,-73.8301,6.19
5386,Brooklyn,NY,40.6814,-73.9669,6.39
5387,College Point,NY,40.782,-73.83,5.39
5424,Bronx,NY,40.8503,-73.9162,5.89
5444,New York,NY,40.7288,-74.0051,6.99
5520,Brooklyn,NY,40.7221,-73.9405,5.99
5534,Jamaica,NY,40.643,-73.7904,7.29
5670,Bronx,NY,40.8729,-73.8787,5.99
5791,New York,NY,40.7659,-73.9833,6.49
5827,Bronx,NY,40.8395,-73.9155,5.49
5852,Brooklyn,NY,40.5993,-73.989,5.99
5882,New York,NY,40.7847,-73.947,6.39
5892,Ridgewood,NY,40.6995,-73.9105,6.69
5955,Brooklyn,NY,40.6538,-74.0054,6.89
5973,Staten Island,NY,40.6255,-74.1493,5.89
5980,New York,NY,40.7508,-73.9895,6.79
5981,Brooklyn,NY,40.6775,-73.8977,5.99
6060,Brooklyn,NY,40.6446,-73.9013,6.19
6132,Staten Island,NY,40.5177,-74.2347,5.99
6212,New York,NY,40.753,-73.9803,6.89
6296,Brooklyn,NY,40.6701,-73.8604,5.79
6460,Far Rockaway,NY,40.6051,-73.7551,5.79
6509,Bronx,NY,40.864,-73.867,5.99
6512,Ozone Park,NY,40.6795,-73.8617,5.99
6532,New York,NY,40.7608,-73.9673,6.39
6536,Brooklyn,NY,40.6487,-73.9582,6.29
6576,Brooklyn,NY,40.7304,-73.9541,6.69
6580,Brooklyn,NY,40.6332,-73.8899,5.99
6584,Bronx,NY,40.8687,-73.8306,5.89
6599,Bronx,NY,40.8264,-73.8617,5.99
6642,Brooklyn,NY,40.6847,-73.9775,5.99
6643,New York,NY,40.737,-73.9905,6.19
6744,Brooklyn,NY,40.6891,-73.9219,5.99
6749,Glen Oaks,NY,40.7456,-73.7151,6.29
6812,Corona,NY,40.7511,-73.8704,6.19
6828,Bronx,NY,40.884,-73.9017,5.59
6908,Bronx,NY,40.8543,-73.9073,6.29
6956,Brooklyn,NY,40.6773,-73.9226,5.79
6958,New York,NY,40.7449,-73.979,6.29
6959,New York,NY,40.7778,-73.9545,6.39
7001,Brooklyn,NY,40.6579,-73.8897,5.69
7091,Bronx,NY,40.8445,-73.8466,5.59
7103,Astoria,NY,40.7751,-73.9122,5.59
7186,Bronx,NY,40.8332,-73.8585,5.69
7199,Brooklyn,NY,40.6129,-73.9827,5.99
7208,New York,NY,40.8197,-73.902,5.89
7213,Long Island City,NY,40.7437,-73.9269,6.19
7234,New York,NY,40.7379,-73.9967,5.99
7240,New York,NY,40.8501,-73.936,5.99
7276,Bronx,NY,40.867,-73.8974,5.79
7335,Astoria,NY,40.7595,-73.9183,7.69
7399,Flushing,NY,40.7701,-73.8344,5.49
7433,Manhattan,NY,40.7525,-73.993,6.29
7435,Brooklyn,NY,40.6692,-73.9308,5.79
7438,Bronx,NY,40.8276,-73.8237,5.99
7440,New York,NY,40.8267,-73.9506,5.99
7476,New York,NY,40.8426,-73.939,5.99
7508,Bronx,NY,40.8625,-73.9029,6.19
7709,Flushing,NY,40.7275,-73.8124,6.19
7761,New York,NY,40.8,-73.9678,5.99
7941,Forest Hills,NY,40.7113,-73.8544,5.99
8040,Bronx,NY,40.8495,-73.8446,5.79
8319,Bronx,NY,40.8174,-73.9222,5.89
8370,Brooklyn,NY,40.5772,-73.9818,6.69
8418,New York,NY,40.7407,-73.9879,6.39
8447,Brooklyn,NY,40.6696,-73.9869,5.99
8450,New York,NY,40.79,-73.9461,6.29
8455,Bronx,NY,40.8285,-73.8781,5.39
8484,Brooklyn,NY,40.7013,-73.9435,6.29
8531,Brooklyn,NY,40.6548,-73.9617,5.99
8535,Springfield Gardens,NY,40.6652,-73.7561,5.69
8704,New York,NY,40.8353,-73.9443,5.99
9063,Brooklyn,NY,40.6799,-73.8791,5.99
9125,New York,NY,40.8086,-73.9478,5.99
9159,Bronx,NY,40.8206,-73.8909,5.89
9319,Jamaica,NY,40.6433,-73.782,7.29
9412,New York,NY,40.8122,-73.9418,5.79
9617,New York,NY,40.8404,-73.8437,5.89
9626,Bronx,NY,40.8466,-73.8935,5.69
9705,Staten Island,NY,40.5776,-74.1022,6.99
9807,Manhattan,NY,40.746,-73.9908,6.49
9810,Cambria Heights,NY,40.6966,-73.7431,5.89
9812,Brooklyn,NY,40.6762,-73.8907,5.79
9893,Brooklyn,NY,40.6446,-73.9877,6.69
9980,New York,NY,40.7574,-73.9855,5.99
10150,New York,NY,40.7575,-73.9899,6.29
10175,Brooklyn,NY,40.6561,-73.9305,5.79
10255,New York,NY,40.7547,-73.9882,6.29
10256,New York,NY,40.7266,-73.9859,5.99
10259,Brooklyn,NY,40.689,-73.9807,6.79
10260,Brooklyn,NY,40.6693,-73.9124,6.69
10434,Brooklyn,NY,40.5981,-73.9615,6.79
10451,Bronx,NY,40.8234,-73.8747,5.79
10538,Brooklyn,NY,40.6735,-73.9992,5.99
10539,Brooklyn,NY,40.5796,-73.9751,6.69
10540,Brooklyn,NY,40.6801,-73.9401,6.69
10675,Staten Island,NY,40.5597,-74.1682,6.99
10770,New York,NY,40.7186,-74.0011,6.49
10792,Brooklyn,NY,40.6914,-73.9917,6.69
10811,Brooklyn,NY,40.615,-73.929,5.99
10884,New York,NY,40.7986,-73.9398,5.99
11028,Bronx,NY,40.828,-73.9253,5.69
11490,Bronx,NY,40.8063,-73.9257,5.59
11526,Bronx,NY,40.8163,-73.9171,5.79
12888,Manhattan,NY,40.7562,-73.9778,6.39
13047,Manhattan,NY,40.8651,-73.9272,5.99
13181,Bronx,NY,40.8564,-73.8812,5.79
